Stop Code,Shelter Quantity,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,ADA Score,Crosswalk Score
5517,0.0,2.0,,2.0,2.0,,0.0
5518,,,,,,,
5519,1.0,2.0,,3.0,1.0,,3.0
5522,0.0,2.0,,2.0,,1.0,
5524,0.0,2.0,,0.0,,,1.0
5525,0.0,1.0,1.0,1.0,1.0,,
5526,0.0,3.0,2.0,2.0,1.0,,2.0
5530,0.0,2.0,1.0,,,,
5532,0.0,3.0,2.0,1.0,,,0.0
5533,0.0,3.0,1.0,2.0,,,2.0
5540,0.0,2.0,,0.0,0.0,,2.0
5543,0.0,2.0,,,,,0.0
5544,0.0,2.0,,0.0,,,0.0
5547,0.0,1.0,,2.0,0.0,,
5549,1.0,3.0,,2.0,0.0,,1.0
5550,0.0,3.0,1.0,,,,
5552,0.0,2.0,1.0,1.0,,,
5553,0.0,2.0,,,,,
5557,0.0,1.0,,,,,
5559,0.0,2.0,2.0,2.0,,,2.0
5561,1.0,2.0,2.0,1.0,2.0,3.0,2.0
5563,0.0,3.0,,,,,1.0
5564,0.0,1.0,,2.0,0.0,,1.0
5565,0.0,2.0,,1.0,,,2.0
5567,0.0,2.0,,2.0,,,1.0
5568,1.0,3.0,1.0,1.0,2.0,3.0,
5569,1.0,2.0,2.0,2.0,1.0,,1.0
5570,1.0,1.0,1.0,2.0,1.0,,2.0
5572,0.0,1.0,2.0,,,,
5573,0.0,2.0,1.0,0.0,,,1.0
5574,0.0,2.0,,,,,
5575,,,,,,,
5578,0.0,2.0,,1.0,,,1.0
5579,1.0,2.0,,2.0,,,
5580,,,,,,,
5581,0.0,2.0,2.0,,,,
5582,0.0,2.0,,0.0,0.0,,
5584,0.0,1.0,1.0,,,,
5590,1.0,3.0,,2.0,0.0,,1.0
5593,0.0,2.0,1.0,,,,
5594,0.0,1.0,,0.0,,,2.0
5595,0.0,1.0,,1.0,,,2.0
5596,0.0,3.0,,,,,2.0
5598,0.0,3.0,1.0,2.0,,,1.0
5600,1.0,2.0,2.0,1.0,0.0,,2.0
5601,0.0,1.0,,,,,
5603,,,,,,,
5604,0.0,3.0,,,,,
5612,0.0,,,,,,
5613,0.0,2.0,1.0,2.0,,,2.0
5616,0.0,2.0,1.0,0.0,1.0,2.0,
5618,0.0,1.0,1.0,,,,
5622,0.0,,,,,,
5626,0.0,2.0,,,,,
5627,0.0,2.0,,1.0,,,
5630,0.0,1.0,2.0,,,,
5634,0.0,2.0,,2.0,0.0,,1.0
5639,0.0,1.0,,0.0,,,1.0
5645,0.0,2.0,,1.0,,,
5646,0.0,2.0,1.0,1.0,0.0,,
5647,0.0,2.0,,1.0,,,
5649,0.0,2.0,2.0,,,,
5650,0.0,2.0,,,,,
5653,,,,,,,
5654,1.0,1.0,1.0,,1.0,,1.0
5658,0.0,1.0,2.0,,,,
5661,0.0,1.0,,1.0,,,1.0
5662,0.0,2.0,,0.0,,,2.0
5663,1.0,2.0,,2.0,0.0,,2.0
5664,0.0,3.0,,,,,
5671,0.0,2.0,,2.0,,,1.0
5672,0.0,3.0,1.0,1.0,0.0,,1.0
5674,0.0,2.0,,2.0,,,
5675,0.0,1.0,2.0,,,,
5677,0.0,2.0,2.0,,,,0.0
5678,0.0,,,,,,
5679,0.0,2.0,2.0,,,,2.0
5684,0.0,1.0,,2.0,0.0,,2.0
5686,0.0,1.0,,,,,
5689,1.0,2.0,1.0,2.0,0.0,,2.0
5690,0.0,2.0,2.0,2.0,,,0.0
5693,1.0,2.0,,,1.0,,
5695,0.0,3.0,,2.0,,,1.0
5700,0.0,1.0,,2.0,,,
5701,0.0,2.0,1.0,0.0,0.0,,1.0
5702,0.0,2.0,1.0,2.0,1.0,,2.0
5703,0.0,2.0,2.0,2.0,0.0,,0.0
5704,,,,,,,
5706,0.0,1.0,,0.0,,,
5708,1.0,1.0,,,0.0,,
5709,0.0,2.0,2.0,2.0,,,1.0
5711,0.0,,,1.0,,,
5714,0.0,1.0,,2.0,,,1.0
5716,0.0,1.0,,2.0,,,2.0
5717,0.0,2.0,,2.0,0.0,,0.0
5718,1.0,2.0,,2.0,0.0,,1.0
5719,0.0,1.0,2.0,0.0,1.0,2.0,2.0
5721,0.0,1.0,,2.0,1.0,2.0,1.0
5722,1.0,1.0,,2.0,,,2.0
5725,,,,,,,
5727,0.0,2.0,1.0,1.0,,,2.0
5728,,,,,,,
5730,0.0,2.0,,2.0,,,2.0
5732,0.0,2.0,,0.0,,,1.0
5733,1.0,1.0,,0.0,2.0,3.0,1.0
5734,0.0,1.0,,1.0,,,2.0
5735,0.0,,,,,,
5738,1.0,3.0,1.0,1.0,1.0,,0.0
5740,0.0,2.0,1.0,,,,
5741,1.0,3.0,1.0,2.0,0.0,,3.0
5742,1.0,3.0,2.0,2.0,2.0,3.0,3.0
5743,1.0,2.0,2.0,2.0,0.0,,2.0
5744,0.0,2.0,1.0,1.0,0.0,,
5746,0.0,2.0,1.0,0.0,,,
5749,0.0,1.0,1.0,,,,
5754,1.0,2.0,2.0,1.0,1.0,,2.0
5764,0.0,2.0,1.0,1.0,,,
5765,0.0,2.0,,2.0,,,2.0
5767,0.0,2.0,2.0,,,,
5768,0.0,2.0,2.0,,,,
5769,,,,,,,
5770,0.0,2.0,,1.0,,,1.0
5773,2.0,3.0,,2.0,2.0,3.0,1.0
5775,0.0,1.0,2.0,2.0,,,2.0
5778,0.0,1.0,,0.0,2.0,3.0,2.0
5781,0.0,2.0,,0.0,0.0,,2.0
5787,,,,,,,
5792,0.0,2.0,1.0,0.0,,,0.0
5793,1.0,2.0,1.0,2.0,2.0,3.0,0.0
5794,0.0,1.0,2.0,,,,
5795,0.0,1.0,2.0,,,,
5797,0.0,1.0,,,,,
5798,0.0,1.0,,,,,0.0
5801,0.0,2.0,,1.0,0.0,,2.0
5802,0.0,1.0,,0.0,,,1.0
5803,0.0,2.0,1.0,1.0,,,
5806,0.0,1.0,,2.0,,,1.0
5811,0.0,2.0,,,,,
5816,0.0,2.0,,2.0,,,1.0
5818,0.0,1.0,,2.0,2.0,3.0,0.0
5819,1.0,3.0,,2.0,0.0,3.0,2.0
5820,0.0,3.0,,,,,
5821,0.0,1.0,1.0,2.0,0.0,,
5822,1.0,2.0,,1.0,1.0,2.0,0.0
5823,,,,,,,
5824,1.0,2.0,,0.0,1.0,,1.0
5826,0.0,2.0,1.0,0.0,,,
5827,0.0,1.0,,2.0,0.0,,
5828,,,,,,,
5829,1.0,2.0,,0.0,,,1.0
5832,0.0,2.0,,,,,
5833,,,,,,,
5836,0.0,,,,,,
5837,0.0,3.0,,,,,
5841,0.0,2.0,,2.0,,,1.0
5843,,,,,,,
5845,0.0,3.0,,2.0,,,1.0
5846,,,,,,,
5848,0.0,2.0,1.0,,,,2.0
5849,,,,,,,
5850,0.0,1.0,,2.0,,,
5851,1.0,3.0,,0.0,1.0,2.0,3.0
5854,0.0,2.0,1.0,2.0,,,
5857,0.0,3.0,,,,,2.0
5858,0.0,1.0,2.0,,,,
5859,1.0,,2.0,1.0,,,
5860,,,,,,,
5862,0.0,1.0,,,,,
5864,1.0,2.0,1.0,0.0,1.0,,3.0
5865,0.0,1.0,2.0,1.0,,,
5866,0.0,,,,,,
5867,0.0,2.0,1.0,0.0,,,1.0
5868,,,,,,,
5869,1.0,3.0,,1.0,1.0,,1.0
5870,,,,,,,
5876,0.0,2.0,1.0,,,,
5877,0.0,1.0,,1.0,0.0,,1.0
5880,0.0,1.0,2.0,,,,
5881,,,,,,,
5883,0.0,,,,,,
5884,0.0,2.0,2.0,1.0,,,1.0
5892,0.0,1.0,2.0,,,,
5896,0.0,2.0,,2.0,1.0,2.0,2.0
5897,1.0,1.0,2.0,1.0,0.0,,1.0
5898,0.0,2.0,,1.0,,,1.0
5899,1.0,2.0,1.0,2.0,1.0,2.0,
5900,1.0,3.0,2.0,2.0,0.0,3.0,2.0
5904,0.0,1.0,,0.0,0.0,,2.0
5906,0.0,1.0,,,,,
5907,0.0,2.0,,2.0,,,1.0
5908,0.0,1.0,,2.0,,,
5909,0.0,3.0,2.0,2.0,1.0,2.0,3.0
5910,0.0,1.0,,,,,
5911,0.0,2.0,1.0,,,,
5914,1.0,1.0,,0.0,1.0,2.0,
5918,0.0,2.0,,2.0,0.0,,2.0
5920,0.0,3.0,,,,,
5927,,,,,,,
5928,0.0,1.0,,,,,
5929,,,,,,,
5930,0.0,2.0,2.0,,,,2.0
5931,1.0,3.0,,2.0,2.0,3.0,2.0
5932,0.0,1.0,1.0,,,,
5933,0.0,2.0,,,,,2.0
5934,0.0,1.0,,1.0,2.0,,3.0
5935,,,,,,,
5938,0.0,2.0,1.0,,,,2.0
5939,0.0,,,,,,
5940,1.0,2.0,,,1.0,2.0,3.0
5942,0.0,3.0,,,,,
5943,0.0,2.0,,1.0,0.0,,
5944,0.0,2.0,,0.0,,,
5946,0.0,1.0,1.0,2.0,,,0.0
5947,0.0,1.0,,0.0,2.0,3.0,
5948,0.0,2.0,,,,,1.0
5949,0.0,2.0,,,,,
5954,0.0,2.0,,1.0,0.0,,
5957,1.0,1.0,,0.0,,,1.0
5964,0.0,2.0,,0.0,,,0.0
5966,0.0,1.0,,1.0,,,2.0
5968,0.0,,,2.0,,,
5970,0.0,1.0,,,,,
5971,1.0,2.0,2.0,2.0,0.0,,2.0
5973,0.0,2.0,,,,,
5980,1.0,2.0,2.0,2.0,1.0,,1.0
5981,0.0,,2.0,,,,
5982,0.0,1.0,2.0,0.0,,,2.0
5983,1.0,3.0,,3.0,2.0,3.0,1.0
5984,0.0,3.0,,0.0,,,2.0
5985,,,,,,,
5987,0.0,1.0,,,,,2.0
5988,0.0,2.0,,0.0,,,2.0
5989,0.0,2.0,,2.0,0.0,,1.0
5990,0.0,2.0,,0.0,,,
5992,0.0,2.0,,2.0,,,
5993,0.0,1.0,2.0,0.0,,,2.0
5994,1.0,3.0,,2.0,2.0,3.0,1.0
5996,0.0,2.0,2.0,,,,
5998,0.0,1.0,,3.0,,,2.0
5999,0.0,1.0,,1.0,1.0,,2.0
6003,0.0,2.0,,0.0,,,1.0
6004,0.0,2.0,1.0,2.0,1.0,2.0,
6008,0.0,2.0,,,,,
6012,1.0,2.0,2.0,2.0,0.0,,2.0
6014,1.0,3.0,,2.0,1.0,,2.0
6016,1.0,1.0,,1.0,2.0,3.0,1.0
6018,,,,,,,
6020,0.0,2.0,2.0,,,,
6023,1.0,3.0,2.0,1.0,0.0,,1.0
6024,0.0,1.0,,,,,
6026,0.0,1.0,1.0,,,,0.0
