Stop Code,Stop Name,Latitude,Longitude,Status,Shelter Quantity,Area_Light,Trash Can,Site_Shade,Real Time Sign,Sidewalk Condition,ADA condition,Landing Pad,Crosswalk,Area Light Score,Site Shade Score,Sidewalk Condition Score,Landing Pad Score,Crosswalk Score,ADA Score
5460,Erwin Rd at LaSalle St (EB),36.007986,-78.945586,Active,0.0,Good,,,No,Fair,No_SidewalkAbuts,Other,Fair,3.0,,1.0,0.0,1.0,
5463,Fayetteville Rd at Obie Dr (SB),35.926656,-78.92316,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5464,Morehead Ave at Vickers Ave (EB),35.991578,-78.912047,Active,0.0,Poor,,Trees_Good,No,Poor,No_SidewalkWithStrip,,,1.0,2.0,0.0,,,
5465,Broad St at Markham Ave (NB),36.01058,-78.91947,Active,1.0,Good,Concrete,,No,Poor,No_SidewalkWithStrip,,Good,3.0,,0.0,,2.0,
5466,Roxboro Rd at Argonne Dr (Northern High School),36.0634339,-78.9041156,Active,,,,,,,,,,,,,,,
5468,Hillsborough Rd at LaSalle St,36.0197,-78.94693,Active,0.0,Fair,Metal,,No,Fair,Yes_Two_Doors,Yes_Two_Doors,Fair,2.0,,1.0,2.0,1.0,3.0
5472,Old Oxford Rd at Dearborn Dr (EB),36.037234,-78.886362,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5473,Old Oxford Rd at Dearborn Dr (WB),36.038273,-78.885425,Active,0.0,Fair,,Trees_Fair,No,Poor,,,,2.0,1.0,0.0,,,
5475,Club Blvd at Stephenson St,36.021567,-78.88255,Active,0.0,Poor,,Trees_Fair,No,,,,,1.0,1.0,,,,
5477,Ross Rd at Charlestowne Apts,35.99243,-78.84488,Active,0.0,Poor,,Trees_Good,No,,,,,1.0,2.0,,,,
5478,Club Blvd at Dearborn Dr,36.027159,-78.870647,Active,,,,,,,,,,,,,,,
5479,Cornwallis Rd at Weaver St,35.9626,-78.916008,Active,0.0,Poor,Metal,Trees_Good,No,Poor,No_SidewalkWithStrip,,Poor,1.0,2.0,0.0,,0.0,
5480,Flowers Dr at Duke Gardens (NB),36.001234,-78.936286,Active,0.0,Good,Metal,Trees_Good,No,Good,No_SidewalkAbuts,Other,Good,3.0,2.0,2.0,0.0,2.0,
5481,Roxboro Rd at Davidson Ave (NB),36.01932,-78.88985,Active,,,,,,,,,,,,,,,
5482,Roxboro Rd at Lynch St,36.00713,-78.89235,Active,0.0,Poor,,Trees_Fair,No,Poor,No_SidewalkWithStrip,,Good,1.0,1.0,0.0,,2.0,
5484,Duke University Rd at Underwood Ave (WB),35.996844,-78.922128,Active,1.0,Good,Metal,Trees_Good,No,Good,Yes_Two_Doors,Yes_Two_Doors,Good,3.0,2.0,2.0,2.0,2.0,3.0
5489,Dearborn Dr at Wiley Ave,36.029217,-78.870369,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5490,Chapel Hill Rd at Ward St,35.983177,-78.930668,Active,0.0,Poor,Concrete,Trees_Fair,Yes,Fair,No_SidewalkWithStrip,,Good,1.0,1.0,1.0,,2.0,
5492,Dearborn Dr at Cannada Ave (NB),36.038636,-78.882398,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5495,W Club Blvd at Clarendon St,36.017198,-78.918167,Active,,,,,,,,,,,,,,,
5496,Dearborn Dr at Maplewood Dr (north),36.034678,-78.86792,Active,0.0,Fair,,,No,,,,,2.0,,,,,
5497,Roxboro St at Erie St (CC Spaulding Elementary),35.9786517,-78.906386,Active,0.0,Good,,,No,Good,Yes_Two_Doors,Yes_Two_Doors,Good,3.0,,2.0,2.0,2.0,3.0
5498,Holloway St at Guthrie Ave (EB),35.99414,-78.87553,Active,0.0,Poor,,,No,Good,Yes_Two_Doors,Yes_Two_Doors,Fair,1.0,,2.0,2.0,1.0,3.0
5499,Meriwether Dr at Pickwick Trail (NB),36.041873,-78.889813,Active,1.0,Fair,Metal,Trees_Fair,No,Excellent,No_SingleDoor,Yes_Single_Door,Good,2.0,1.0,3.0,1.0,2.0,
5501,Chapel Hill Rd at Chapel Ridge Apts,35.984739,-78.929553,Active,0.0,Poor,,Trees_Good,No,Poor,No_SidewalkWithStrip,,Good,1.0,2.0,0.0,,2.0,
5503,North Pointe Dr at Red Roof Inn (EB),36.03029,-78.923029,Active,0.0,Fair,,,No,Good,No_SidewalkWithStrip,,,2.0,,2.0,,,
5505,Holloway St at Alston Ave (Long Meadow Park) (WB),35.994552,-78.884742,Active,0.0,Poor,Concrete,Trees_Fair,No,Good,No_SidewalkAbuts,Other,Fair,1.0,1.0,2.0,0.0,1.0,
5506,Lawson St at DTCC Library (WB),35.974428,-78.882757,Active,0.0,Poor,,,No,Good,No_SidewalkWithStrip,,Fair,1.0,,2.0,,1.0,
5507,Chapel Hill St at Gregson St (WB),35.997049,-78.909564,Active,0.0,Fair,Concrete,Trees_Fair,No,Good,No_SidewalkWithStrip,,Fair,2.0,1.0,2.0,,1.0,
5508,Chapel Hill Rd at Morehead Ave (SB),35.991518,-78.922917,Active,0.0,Poor,,Trees_Fair,No,,,,Good,1.0,1.0,,,2.0,
5509,Old Farm Rd at Seven Oaks Rd,36.067087,-78.904996,Active,0.0,Good,,Trees_Fair,No,Fair,No_SidewalkWithStrip,,Poor,3.0,1.0,1.0,,0.0,
5511,Hillsborough Rd at US 15-501 SB (WB),36.021637,-78.951409,Active,0.0,Fair,Concrete,,No,Good,No_SidewalkWithStrip,,Fair,2.0,,2.0,,1.0,
5512,Alston Ave at Cecil St (NCCU),35.97150361,-78.89485941,Active,,,,,,,,,,,,,,,
5513,Roxboro Rd at Horton Rd,36.050261,-78.903612,Active,1.0,Good,Concrete,Trees_Fair,No,Fair,No_SingleDoor,Yes_Single_Door,Fair,3.0,1.0,1.0,1.0,1.0,
5516,Duke St at Carver St,36.04005,-78.90587,Active,0.0,Good,,,No,,,,Poor,3.0,,,,0.0,
5517,Fayetteville Rd at Southpoint Crossing Dr (SB),35.913491,-78.933378,Active,0.0,Fair,,,No,Good,,Yes_Two_Doors,Poor,2.0,,2.0,2.0,0.0,
5518,Fayetteville St at Pekoe St,35.9733322,-78.9011141,Active,,,,,,,,,,,,,,,
5519,University Dr at Hill St (Forest Hills Shopping Center),35.98523,-78.91039,Active,1.0,Fair,Metal,,No,Excellent,No_SingleDoor,Yes_Single_Door,Excellent,2.0,,3.0,1.0,3.0,
5522,Dearborn Dr at Cannada Ave (Disciples Church),36.038529,-78.880921,Active,0.0,Fair,,,No,Good,Yes_Other,,,2.0,,2.0,,,1.0
5524,Mangum St at Trinity Ave,36.005518,-78.8942,Active,0.0,Fair,,,No,Poor,No_SidewalkWithStrip,,Fair,2.0,,0.0,,1.0,
5525,Hinson Dr at Davinci St,36.03179,-78.878167,Active,0.0,Poor,,Trees_Fair,Yes,Fair,No_SingleDoor,Yes_Single_Door,,1.0,1.0,1.0,1.0,,
5526,Hillsborough Rd at Erwin Square,36.01038,-78.92509,Active,0.0,Good,,Trees_Good,No,Good,No_SingleDoor,Yes_Single_Door,Good,3.0,2.0,2.0,1.0,2.0,
5530,Cornwallis Rd at Century Oaks Dr (NB),35.94103,-78.89807,Active,0.0,Fair,,Trees_Fair,No,,,,,2.0,1.0,,,,
5532,S Alston Ave at Dupree St (NB),35.976341,-78.892879,Active,0.0,Good,,Trees_Good,No,Fair,No_SidewalkWithStrip,,Poor,3.0,2.0,1.0,,0.0,
5533,University Dr at Old Chapel Hill Rd (EB),35.96717,-78.94603,Active,0.0,Good,,Trees_Fair,No,Good,No_SidewalkWithStrip,,Good,3.0,1.0,2.0,,2.0,
